pub_name,fpi_score,fpi_category
Cat & Mutton,47,struggling
Crown & Shuttle,77,fucked
Princess Of Prussia,47,struggling
The Lemon Tree,32,struggling
Bradleys Spanish Bar,48,struggling
Prince Of Wales,54,struggling
Hero Of Maida,62,fucked
Rose & Crown,84,fucked
